SYMBOL	ID	ENTREZID	GENENAME	CHR	CHRLOC	ectoderm_rep1	endoderm_rep1	endoderm_rep2	HUES64_rep1	mesoderm_rep1	mesoderm_rep2	ectoderm_rep2	ectoderm_rep3	HUES64_rep2
CCDC144C	gene28970	NA	NA	NA	NA	0.08	0.07	0.19	0.01	0.16	0.13	0.17	0.08	0.03
UPF3AP2	gene28971	147150	UPF3A pseudogene 2	17	NA	0	0	0	0.03	0	0	0	0	0
SRP68P3	gene28972	347717	signal recognition particle 68kDa pseudogene 3	17	NA	0	0	0	0	0	0	0.06	0	0
LOC100996259	gene28973	NA	NA	NA	NA	0.01	0	0	0	0.19	0	0	0	0
USP32P3	gene28974	347716	ubiquitin specific peptidase 32 pseudogene 3	17	NA	0.09	0.14	0.19	0.09	0.12	0.12	0.23	0.22	0.04
NOS2P3	gene28975	339256	nitric oxide synthase 2 pseudogene 3	17	NA	0	0	0.02	0	0.02	0	0.05	0	0
LOC339257	gene28977	NA	NA	NA	NA	0	0	0	0	0.01	0	0	0	0
KRT16P3	gene28979	644945	keratin 16 pseudogene 3	17	 -20404827	0	0	0.11	0.07	0.32	0.07	0	0	0.05
RPS27P8	gene2898	653805	ribosomal protein S27 pseudogene 8	1	NA	0	0	0	0	0.41	0	0	0	0
LOC284196	gene28980	NA	NA	NA	NA	0	0	0.02	0	0	0	0.04	0	0
LOC100996294	gene28982	100996294	uncharacterized LOC100996294	17	NA	0.2	0.26	0.17	0	0	0	0.45	0.27	0
TBC1D3P3	gene28983	653017	TBC1 domain family, member 3 pseudogene 3	17	NA	0.11	0.2	0.25	0.06	0.13	0.14	0.48	0.47	0.07
LOC100132977	gene28984	100132977	chromosome 2 open reading frame 27B pseudogene	17	NA	0	0	0	0	0	0	0	0	0.1
CDRT15L2	gene28986	256223	CMT1A duplicated region transcript 15-like 2	17	  20483037	0	0	0	0.07	0	0	0	0.08	0
ZSWIM5P2	gene28987	100132201	zinc finger, SWIM-type containing 5 pseudogene 2	17	NA	0.02	0.02	0.03	0	0	0	0.02	0	0
MEIS3P2	gene28988	257468	Meis homeobox 3 pseudogene 2	17	NA	1.45	1.96	2.33	1.53	1.68	1.76	2.7	3.05	0.79
SYT2	gene2899	127833	synaptotagmin II	1	-202559725	0.55	3.61	2.34	1.28	0.18	0.04	1.25	1.01	1.24
LOC729334	gene28990	729334	cytospin B pseudogene	17	NA	0.01	0.02	0.01	0	0.02	0	0.07	0.04	0
SCDP1	gene28993	645313	stearoyl-CoA desaturase (delta-9-desaturase) pseudogene 1	17	NA	0.01	0.04	0.04	0.03	0.03	0.01	0.02	0.01	0.04
FAM108A7P	gene28994	NA	NA	NA	NA	0.62	1.02	0.7	0.16	1.13	0.85	0.95	0.8	0.49
CCDC144NL	gene28995	339184	coiled-coil domain containing 144 family, N-terminal like	17	 -20766708	0.02	0	0	0	0	0.03	0.07	0.13	0.02
LOC339260	gene28997	339260	uncharacterized LOC339260	17	NA	0.07	0.04	0	0.07	0	0	0.09	0.04	0
USP22	gene28998	23326	ubiquitin specific peptidase 22	17	 -20902906	46.2	60.84	54.16	38.62	43.4	35.13	92.4	82.59	41.47
DHRS7B	gene28999	25979	dehydrogenase/reductase (SDR family) member 7B	17	  21030241	2.86	2.85	3.03	2.25	2.59	2.17	4.38	3.94	2.74
LOC388579	gene29	NA	NA	NA	NA	0	0	0	0	0	0.06	0	0	0
KDM5B	gene2900	10765	lysine (K)-specific demethylase 5B	1	-202696532	20.03	28.95	24.16	15.22	23.87	20.06	41.56	34.35	13.48
TMEM11	gene29000	8834	transmembrane protein 11	17	 -21101263	5.69	7.54	6.92	6.62	7.28	5.56	6.12	7.13	6.76
C17orf103	gene29001	NA	NA	NA	NA	2.77	4.75	3.64	2.1	2.79	2.4	5.74	4.95	1.88
MAP2K3	gene29002	5606	mitogen-activated protein kinase kinase 3	17	  21191348;   21187968	2.62	5.56	4.41	5.19	7.08	5.48	5.57	4.28	5.3
KCNJ12	gene29003	3768	potassium inwardly-rectifying channel, subfamily J, member 12	17	  21279699	0.27	0.49	0.46	0.11	0.29	0.21	0.4	0.31	0.14
LOC100419426	gene29004	NA	NA	NA	NA	0	0	0	0	0	0	0.1	0	0
RPL21P120	gene29005	731688	ribosomal protein L21 pseudogene 120	17	NA	0.13	0	0.15	0	0	0	0	0	0
C17orf51	gene29006	339263	chromosome 17 open reading frame 51	17	 -21431571	1.7	2.8	2.63	1.21	1.24	1.11	2.49	2.74	1.18
NCOR1P2	gene29008	729490	nuclear receptor corepressor 1 pseudogene 2	17	NA	0.12	0.16	0.16	0.05	0.15	0.12	0.64	0.51	0.08
LOC100506672	gene2901	100506672	cytochrome c oxidase subunit VIIc pseudogene	1	NA	15.17	14.41	16.37	12.82	9.85	12.67	20.59	21.25	16.35
UBBP4	gene29010	23666	ubiquitin B pseudogene 4	17	NA	0.86	0.95	1.82	0.98	0.66	1.87	1.81	2.09	0.85
FTLP13	gene29011	100462793	ferritin, light polypeptide pseudogene 13	17	NA	0	0.22	0	0	0	0	0	0	0
FAM27L	gene29013	284123	family with sequence similarity 27-like	17	  21825370	0	0	0	0.26	0	0	0	0	0.1
FLJ36000	gene29014	284124	uncharacterized FLJ36000	17	  21904062	0	0.02	0.02	0	0	0	0	0.04	0
MTRNR2L1	gene29015	100462977	MT-RNR2-like 1	17	  22022437	18.3	17.83	22.34	10.88	19.77	11.17	114.25	156.78	9.02
LOC100506418	gene29026	NA	NA	NA	NA	0	0	0	0	0	0	0	0.15	0
RPL34P31	gene29027	729536	ribosomal protein L34 pseudogene 31	17	NA	0	0	0	0.45	0	0	0	0.26	0
KDM5B-AS1	gene2903	NA	NA	NA	NA	2.59	3.97	3.97	0.88	3.64	2.69	1.9	2.34	0.28
WSB1	gene29030	26118	WD repeat and SOCS box containing 1	17	  25621106	36.82	90.69	73.41	15.1	47.19	42.13	50.31	44.83	13.13
LOC100132972	gene29031	100132972	synaptophysin-like 1 pseudogene	17	NA	0.3	0.22	0.11	0.11	0	0.12	0.25	0.24	0.08
TBC1D3P5	gene29032	440419	TBC1 domain family, member 3 pseudogene 5	17	  25745031	0	0	0	0	0	0.02	0.03	0.02	0
KSR1	gene29033	8844	kinase suppressor of ras 1	17	  25799036	1.98	2.68	1.91	1.74	3.05	2.61	3.77	2.91	1.7
LGALS9	gene29036	3965	lectin, galactoside-binding, soluble, 9	17	  25958174	0.03	0.19	0.28	0.11	1.17	1.01	0.16	0.34	0.08
NOS2P1	gene29037	645740	nitric oxide synthase 2 pseudogene 1	17	NA	0.1	0.01	0.02	0	0.01	0.01	0.4	0.17	0
LOC100420408	gene29038	100420408	TBC1 domain family, member 29 pseudogene	17	NA	0.12	0	0.34	0	0	0	0.19	0	0
LOC645754	gene29039	NA	NA	NA	NA	0.01	0.01	0.02	0.01	0.04	0.02	0.03	0.03	0.01
LOC641515	gene2904	NA	NA	NA	NA	0	0	0	0	0	0	0.05	0	0
NOS2	gene29040	4843	nitric oxide synthase 2, inducible	17	 -26083792	14.2	3.02	1.63	0.37	0.74	0.36	62.85	24.75	0.28
LYRM9	gene29041	201229	LYR motif containing 9	17	 -26205340	2.41	1.97	1.46	0.63	0.81	1.05	3.55	2.94	0.59
NLK	gene29042	51701	nemo-like kinase	17	  26369688	6.24	7.21	6.05	4.75	5.21	4.76	13.04	13.75	5.31
PYY2	gene29044	23615	peptide YY, 2 (pseudogene)	17	  26553589	0	0.2	0	0.06	0.07	0	0.1	0.22	0.19
LOC101060106	gene29046	101060106	leucine-rich repeat-containing protein 37A2-like	17	NA	0	0.14	0	0	0.16	0	0	0	0
KRT18P55	gene29047	284085	keratin 18 pseudogene 55	17	 -26603012	0.03	0	0	0.03	0	0	0.03	0.04	0
TMEM97	gene29048	27346	transmembrane protein 97	17	  26646121	17.24	38.21	32.1	24.36	19.67	17.99	30.78	26.43	25.82
IFT20	gene29049	90410	intraflagellar transport 20	17	 -26655351	6.75	7.95	9.28	3.83	14.81	12.45	8.6	8.78	4.51
LOC730222	gene2905	730222	tubulin, alpha 3d pseudogene	1	NA	0.34	0.36	0.45	0.28	0.24	0.12	1.11	0.76	0.37
TNFAIP1	gene29050	7126	tumor necrosis factor, alpha-induced protein 1 (endothelial)	17	  26662548	5.92	8.79	7.92	2.5	11.89	8.95	9.16	8.13	2.05
POLDIP2	gene29051	26073	polymerase (DNA-directed), delta interacting protein 2	17	 -26673659	9.8	13.71	11.34	8.54	11.94	10.12	17.85	15.47	10.5
TMEM199	gene29052	147007	transmembrane protein 199	17	  26684687	4.46	7.42	5.99	4.22	5.7	4.31	8.58	7.77	5.7
VTN	gene29055	7448	vitronectin	17	 -26694299	0.33	1.32	1.7	1.21	4.09	4.63	0.28	0.18	0.51
SARM1	gene29056	23098	sterile alpha and TIR motif containing 1	17	  26698987	0.54	1.82	1.42	0.48	1.25	1.48	1.62	1.06	0.51
SLC46A1	gene29057	113235	solute carrier family 46 (folate transporter), member 1	17	 -26721661	0.14	0.9	0.71	0.46	1.17	0.81	0.45	0.29	0.61
H3F3BP2	gene29058	100420410	H3 histone, family 3B (H3.3B) pseudogene 2	17	NA	0.13	0	0	0	0	0	0	0	0
LOC148709	gene2906	148709	actin pseudogene	1	 202830882	0.78	0.42	0.51	0.66	0.15	0.34	1.7	1.11	0.44
RPS7P1	gene29060	388363	ribosomal protein S7 pseudogene 1	17	NA	14.23	13.91	15.29	12.06	9.77	17.62	20.2	20.97	10.63
SLC13A2	gene29061	9058	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	17	  26800664	0	0.03	0	0	0	0	0	0	0
FOXN1	gene29062	8456	forkhead box N1	17	  26850959	0	0	0.03	0	0	0	0	0	0
UNC119	gene29063	9094	unc-119 homolog (C. elegans)	17	 -26873725	13.15	17.6	13.99	10.44	11.86	9.29	21.1	21.07	8.26
PIGS	gene29064	94005	phosphatidylinositol glycan anchor biosynthesis, class S	17	 -26880406	6.79	12.11	9.4	4.87	12.06	9.41	11.21	9.53	4.98
ALDOC	gene29065	230	aldolase C, fructose-bisphosphate	17	 -26900133	2.96	15.24	10.5	12.42	9.46	6.58	2.84	3.34	8.87
SPAG5	gene29066	10615	sperm associated antigen 5	17	 -26904583	15.73	22.56	19.97	12.89	11.87	10.92	24.46	25.29	14.13
SPAG5-AS1	gene29067	100506436	SPAG5 antisense RNA 1	17	  26926151	0.05	0.05	0	0.05	0	0	0.04	0	0
SGK494	gene29068	124923	uncharacterized serine/threonine-protein kinase SgK494	17	 -26934982	1.21	1.53	2.07	0.59	1.02	0.86	2.87	2.44	0.63
KIAA0100	gene29069	9703	KIAA0100	17	 -26941458	12.45	18.31	15.43	10.84	13.97	11.05	24.48	17.69	11.59
RABIF	gene2907	5877	RAB interacting factor	1	-202847410	2.06	2.74	1.81	1.29	1.31	1.15	3.16	2.32	1.57
SDF2	gene29070	6388	stromal cell-derived factor 2	17	 -26975374	8.48	9.63	7.32	5.5	10.91	8.06	10.65	10.18	6.24
SUPT6H	gene29072	6830	suppressor of Ty 6 homolog (S. cerevisiae)	17	  26989302	9.62	12.6	9.67	7.25	9.68	8.15	23.5	18.15	8.92
PROCA1	gene29073	147011	protein interacting with cyclin A1	17	 -27030534	2.83	2.45	2.43	1.52	1.9	1.76	3.33	4.88	1.34
RAB34	gene29074	83871	RAB34, member RAS oncogene family	17	 -27041299	17.45	20	20.42	24.94	43.89	34.57	24.05	22.16	32.55
NARR	gene29075	100861437	nine-amino acid residue-repeats	17	 -27043011	0	0	0.39	0	0.8	0	0	0.68	0.33
RPL23A	gene29076	6147	ribosomal protein L23a	17	  27047000	329.36	387.95	334.78	338.24	403.9	360.62	323.52	319.76	325.61
KLHL12	gene2908	59349	kelch-like family member 12	1	-202860230	7.17	9.04	7.72	4.58	6.42	4.87	13.21	12.58	4.95
TLCD1	gene29081	116238	TLC domain containing 1	17	 -27051366	3.02	1.89	1.27	6.31	1.47	1.53	4.15	2.53	6.99
NEK8	gene29082	284086	NIMA-related kinase 8	17	  27055832	1.21	1.1	0.79	1.36	0.67	0.71	2.22	2.02	1.44
TRAF4	gene29083	9618	TNF receptor-associated factor 4	17	  27071023	11.84	19.67	17.98	18.11	24.5	16.55	18.2	15.57	20.7
FAM222B	gene29084	55731	family with sequence similarity 222, member B	17	 -27082996	6.57	10.52	7.86	9.53	7.31	5.52	10.39	10.05	8.55
ERAL1	gene29086	26284	Era-like 12S mitochondrial rRNA chaperone 1	17	  27182043	11.69	15.95	13.55	13.97	13.65	11.43	20.62	19.47	13.67
LOC730246	gene2909	NA	NA	NA	NA	0	0	0	0.16	0.09	0.09	0.12	0.09	0
FLOT2	gene29091	2319	flotillin 2	17	 -27206357	28.59	27.34	23.62	20.76	30.15	23.57	46.86	41.83	21.84
DHRS13	gene29092	147015	dehydrogenase/reductase (SDR family) member 13	17	 -27224799	4.57	5.44	4.21	4.03	2.39	2.26	6.33	5.66	4.81
PHF12	gene29093	57649	PHD finger protein 12	17	 -27239162;  -27232271	8.13	10.38	8.87	5.72	6.38	5.63	14.47	12.46	5.62
SEZ6	gene29094	124925	seizure related 6 homolog (mouse)	17	 -27281947	4.1	3.06	3.52	0.45	0	0.08	7.62	8.39	0.65
PIPOX	gene29096	51268	pipecolic acid oxidase	17	  27369918	2.24	2.94	3.64	5.05	0.39	0.29	4.35	5.01	4.73
MYO18A	gene29097	399687	myosin XVIIIA	17	 -27400528	4.65	6.94	6.42	3.83	7.22	5.63	8.6	7.63	2.92
TIAF1	gene29098	9220	TGFB1-induced anti-apoptotic factor 1	17	 -27400539	0	0	0.33	0.07	0.32	0.11	0.09	0.48	0
ADIPOR1	gene2910	51094	adiponectin receptor 1	1	-202909960	12.27	19.27	14.99	12.11	23.04	19.3	17.07	19.58	11.94
TWF1P1	gene29100	619519	twinfilin 1 pseudogene 1	17	NA	0	0.03	0	0	0.06	0	0.02	0.03	0
CRYBA1	gene29101	1411	crystallin, beta A1	17	  27573875	0.09	0	0.1	0	0	0	0.43	0.74	0.07
NUFIP2	gene29102	57532	nuclear fragile X mental retardation protein interacting protein 2	17	 -27582854	7.88	9.55	8.58	7.53	7.08	6.16	15.82	13.7	7.45
TAOK1	gene29105	57551	TAO kinase 1	17	  27717943	7.31	9.15	9.36	5.44	8.31	6.77	15.39	12.82	5.63
ABHD15	gene29106	116236	abhydrolase domain containing 15	17	 -27887689	0.35	0.68	0.38	0.18	0.41	0.25	0.65	0.7	0.17
TP53I13	gene29107	90313	tumor protein p53 inducible protein 13	17	  27895739	5.23	8.28	7.52	3.75	9.2	7.43	5.86	5.42	3.09
GIT1	gene29108	28964	G protein-coupled receptor kinase interacting ArfGAP 1	17	 -27900487	10.79	13.78	11.16	7.83	14.11	9.75	15.76	18.28	8.65
ANKRD13B	gene29109	124930	ankyrin repeat domain 13B	17	  27920527	2.75	7.8	4.95	2.54	2.18	1.24	2.53	4.04	2
CYB5R1	gene2911	51706	cytochrome b5 reductase 1	1	-202931001	2.68	6.41	4.99	2.43	5.41	4.6	5.18	2.85	2.52
CORO6	gene29110	84940	coronin 6	17	 -27941774	0.75	0.87	0.58	0.29	2.64	1.69	0.63	0.89	0.08
SSH2	gene29111	85464	slingshot protein phosphatase 2	17	 -27952965	1.67	1.88	1.68	0.8	2.67	1.94	3.88	3.18	0.9
LOC100421100	gene29113	100421100	RNA terminal phosphate cyclase-like 1 pseudogene	17	NA	0.14	0	0.16	0	0.16	0	0	0	0.05
EFCAB5	gene29115	374786	EF-hand calcium binding domain 5	17	  28268623;   28256874	0.02	0.03	0	0.02	0.02	0	0.05	0.07	0
STX18P1	gene29117	100418889	syntaxin 18 pseudogene 1	17	NA	0	0	0	0	0	0	0	0.24	0
NSRP1	gene29118	84081	nuclear speckle splicing regulatory protein 1	17	  28443825	3.97	4.92	4.93	4.64	3.25	5.44	8.1	5.37	4.36
SLC6A4	gene29121	6532	solute carrier family 6 (neurotransmitter transporter), member 4	17	 -28523378	0	0	0	0	0	0	0.02	0.02	0.03
BLMH	gene29122	642	bleomycin hydrolase	17	 -28575213	13.42	17.86	13.54	12.04	16.66	12.53	23.49	19.7	12.21
CPD	gene29124	1362	carboxypeptidase D	17	  28707496;   28705942	7.21	10.48	10.63	4.99	11.92	10.21	11.63	8.86	4.72
GOSR1	gene29125	9527	golgi SNAP receptor complex member 1	17	  28804426	4.52	6.64	5.38	3.71	5.07	4.37	9.09	7.94	3.8
ALOX12P1	gene29126	243	arachidonate 12-lipoxygenase pseudogene 1	17	NA	0.14	0.29	0.18	0.06	0.1	0.07	0.3	0.2	0.06
LOC100420311	gene29127	100420311	TBC1 domain family, member 3 pseudogene	17	NA	0.12	0.1	0.13	0	0.03	0.08	0	0.2	0.04
KRT17P3	gene29129	729682	keratin 17 pseudogene 3	17	NA	0	0	0	0	0	0	0.04	0	0
LRRC37BP1	gene29130	147172	leucine rich repeat containing 37B pseudogene 1	17	  28903483	4.84	5.84	4.79	3.05	3.92	4.23	8.77	7.61	3.03
LOC100420850	gene29131	100420850	leucine rich repeat containing 37B pseudogene	17	NA	0.15	0.22	0.19	0.1	0.14	0.09	0.55	0.44	0.09
SH3GL1P2	gene29132	6459	SH3-domain GRB2-like 1 pseudogene 2	17	  28951336	0.17	0.05	0	0	0.07	0	0.17	0	0
SUZ12P1	gene29133	440423	suppressor of zeste 12 homolog pseudogene 1	17	  29036626	5.97	5.35	4.73	3.11	3.74	2.2	11.6	9.06	2.85
CRLF3	gene29134	51379	cytokine receptor-like factor 3	17	 -29109702	2.54	3.34	3.11	3.09	3.18	2.65	4.41	4.69	3.42
ATAD5	gene29136	79915	ATPase family, AAA domain containing 5	17	  29159023	4.82	4.25	4.46	2.89	2.45	2.24	7.45	6.99	2.86
TEFM	gene29137	79736	transcription elongation factor, mitochondrial	17	 -29226001	3.6	2.87	2.56	3.31	2.1	1.8	5	4.21	3.28
ADAP2	gene29138	55803	ArfGAP with dual PH domains 2	17	  29248754	0.09	0.47	0.22	0.02	0.13	0.05	0.22	0.26	0.03
RNF135	gene29139	84282	ring finger protein 135	17	  29297956	2.66	2.13	2.03	1.68	3.2	2.88	3.46	4.19	1.59
TMEM183A	gene2914	92703	transmembrane protein 183A	1	 202976534	16	19.25	15.07	15.79	16.64	14.22	26.5	24.86	17.14
DPRXP4	gene29140	503645	divergent-paired related homeobox pseudogene 4	17	  29302353	0.33	0	0.13	0	0.26	0	0.09	0.53	0
LOC646021	gene29141	646021	uncharacterized LOC646021	17	NA	0.09	0.29	0.21	0.06	0.07	0.21	0.23	0.22	0.05
LOC646030	gene29142	646030	leucine-rich repeat-containing protein 37A2-like	17	NA	0.05	0.11	0.06	0.01	0.04	0.04	0.14	0.19	0.03
NF1	gene29144	4763	neurofibromin 1	17	  29421945	3.85	7.99	6.39	2.72	5.85	4.63	7.76	6.19	2.49
EVI2A	gene29147	2123	ecotropic viral integration site 2A	17	 -29643428	0	0	0	0	0.02	0.02	0	0	0
AK4P1	gene29148	206	adenylate kinase 4 pseudogene 1	17	NA	0.25	0.94	0.79	1.07	0.3	0.27	0.14	0.2	1.3
RAB11FIP4	gene29149	84440	RAB11 family interacting protein 4 (class II)	17	  29718642	1.84	2.53	1.98	2.23	0.61	0.69	4.28	3.51	2.17
LOC101059970	gene2915	NA	NA	NA	NA	0.98	1.19	0.89	0.28	0.5	0.35	1.46	1.05	0.16
C17orf79	gene29156	NA	NA	NA	NA	12.56	11.79	12.3	10.02	11.75	9.92	16.58	14.99	12.42
UTP6	gene29157	55813	UTP6, small subunit (SSU) processome component, homolog (yeast)	17	 -30190190	8.28	11.27	9.31	10.57	10.6	11.32	15.67	14.48	13.15
SUZ12	gene29158	23512	SUZ12 polycomb repressive complex 2 subunit	17	  30264044	8.74	11.29	10.3	6.79	7.2	6.44	13.7	11.89	7.43
LRRC37B	gene29159	114659	leucine rich repeat containing 37B	17	  30348155	3.09	4.56	3.91	1.95	2.49	1.91	4.45	3.88	1.89
PPFIA4	gene2916	8497	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	1	 203020311	1.17	1.97	1.3	0.53	0.47	0.71	1.98	1.32	0.27
SH3GL1P1	gene29160	6458	SH3-domain GRB2-like 1 pseudogene 1	17	  30367355	0.31	0.27	0.25	0.03	0.15	0.17	0.59	0.48	0.1
WDR45LP1	gene29161	NA	NA	NA	NA	0	0	0	0.03	0	0	0.04	0	0
RHOT1	gene29162	55288	ras homolog family member T1	17	  30469473	6.12	12.44	9.7	5.22	7.88	7.18	8.22	8.84	5.56
LOC100506596	gene29164	100506596	uncharacterized LOC100506596	17	NA	0	0	0	0	0	0.21	0	0	0
LOC100287215	gene29165	NA	NA	NA	NA	0	0.26	0	0	0	0	0	0	0
RHBDL3	gene29166	162494	rhomboid, veinlet-like 3 (Drosophila)	17	  30593195	1.11	4.2	2.51	0.91	0.3	0.09	0.72	0.78	1.18
C17orf75	gene29167	64149	chromosome 17 open reading frame 75	17	 -30655460	4.42	5.16	4.78	3.24	2.32	2.66	7.78	7.12	2.6
ZNF207	gene29169	7756	zinc finger protein 207	17	  30677157	44.68	56.61	48.25	43.14	42.11	37.55	65.86	72.01	51.36
MYOG	gene2917	4656	myogenin (myogenic factor 4)	1	-203052257	0.04	0	0.05	0	0.1	0.05	0.03	0	0.03
LOC101060080	gene29170	NA	NA	NA	NA	0	0	0	0	0	0	0	0.13	0
NUDT15P2	gene29171	574533	nudix (nucleoside diphosphate linked moiety X)-type motif 15 pseudogene 2	17	NA	0.31	0.5	0.32	0.18	0.38	0.2	1.13	0.93	0.15
PSMD11	gene29172	5717	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	17	  30771481	11.1	17.02	13.6	15.63	13.32	11.66	25.98	25.28	18.86
CDK5R1	gene29173	8851	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	17	  30814105	3.09	8.95	7.87	2.58	2.05	1.08	4.04	5.34	2.2
MYO1D	gene29174	4642	myosin ID	17	 -30819628	0.68	2.76	2.24	2.16	5.87	5.25	1.05	0.98	2.25
LOC100506629	gene29175	NA	NA	NA	NA	0	0	0.08	0.15	0.09	0.09	0	0	0
LOC100506643	gene29176	NA	NA	NA	NA	0.15	0	0	0	0	0	0	0	0.11
TMEM98	gene29177	26022	transmembrane protein 98	17	  31254928	21.34	31.47	26.48	16.84	43.99	37.92	36.46	31.4	17.66
SPACA3	gene29178	124912	sperm acrosome associated 3	17	  31318882	0	0	0.1	0	0	0	0	0	0
ASIC2	gene29179	40	acid-sensing (proton-gated) ion channel 2	17	 -31340106	0.07	0.18	0.32	0.09	0.43	0.28	0.15	0.3	0.12
ADORA1	gene2918	134	adenosine A1 receptor	1	 203096836	1.04	0.81	0.59	0.51	1.45	1.33	3.88	2.71	0.56
TLK2P1	gene29181	646202	tousled-like kinase 2 pseudogene 1	17	NA	0	0.03	0.03	0	0	0	0.03	0.07	0
CCL2	gene29182	6347	chemokine (C-C motif) ligand 2	17	  32582296	2.46	12.54	14.99	2.6	26.66	18.62	4.21	3.2	1.89
CCL7	gene29183	6354	chemokine (C-C motif) ligand 7	17	  32597240	0	0	0	0	1.55	1.02	0	0	0
CCL11	gene29184	6356	chemokine (C-C motif) ligand 11	17	  32612687	0	0	0	0	0.09	0	0	0	0
TMEM132E	gene29189	124842	transmembrane protein 132E	17	  32907768	0.12	0.22	0.17	0.01	0.21	0.06	0.19	0.1	0.07
MYBPH	gene2919	4608	myosin binding protein H	1	-203136939	0	0	0	0	0	0.16	0.08	0.04	0.05
CCT6B	gene29190	10693	chaperonin containing TCP1, subunit 6B (zeta 2)	17	 -33254878	0.42	0.45	0.52	0.31	0.15	0.12	0.91	0.96	0.27
ZNF830	gene29191	91603	zinc finger protein 830	17	  33288549	3.92	5.67	2.93	2.85	3.53	3.54	7.28	5.83	2.76
LIG3	gene29192	3980	ligase III, DNA, ATP-dependent	17	  33307517	8.27	14.08	11.31	8.54	7.9	5.81	16.2	15.86	9.73
OSTCP7	gene29193	100874391	oligosaccharyltransferase complex subunit pseudogene 7	17	NA	0.98	3.35	3.36	1.03	0.47	0.46	3.49	2.81	1.2
RAD51L3-RFFL	gene29194	100529207	RAD51L3-RFFL readthrough	17	 -33336131	0.17	0.15	0.16	0.1	0.06	0.2	0	0	0.07
RFFL	gene29195	117584	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase	17	 -33336131	1.93	3.72	2.83	2	2.16	1.42	3.07	2.15	1.93
RPL37P22	gene29196	100271341	ribosomal protein L37 pseudogene 22	17	NA	0	0	0	0	0	0.62	0	0	0
RAD51D	gene29197	5892	RAD51 paralog D	17	 -33426811	1.92	2.18	1.73	1.87	1.24	1.56	4.64	3.29	1.95
NLE1	gene29199	54475	notchless homolog 1 (Drosophila)	17	 -33458368	4.1	5.02	2.83	4.92	3.68	2.56	6	5.79	6.58
CHI3L1	gene2920	1116	chitinase 3-like 1 (cartilage glycoprotein-39)	1	-203148059	0.63	0.18	0.27	0.07	0.32	0.44	1.69	1.34	0.21
UNC45B	gene29200	146862	unc-45 homolog B (C. elegans)	17	  33474836	0.04	0	0.01	0.05	0.05	0.04	0.15	0.17	0.03
SLC35G3	gene29202	146861	solute carrier family 35, member G3	17	 -33519539	0	0	0	0	0	0	0.03	0	0
SLFN5	gene29203	162394	schlafen family member 5	17	  33570086	1.3	1.81	1.9	0.96	6.47	5.11	2.69	1.92	0.86
SLFN11	gene29205	91607	schlafen family member 11	17	 -33677329	0.19	0.97	0.98	0.29	0.14	0.02	0.58	0.57	0.09
LOC729839	gene29207	729839	DTW domain containing 2 pseudogene	17	NA	0	0.25	0.09	1.13	0.09	0.27	0.38	0.28	0.23
SLFN12	gene29208	55106	schlafen family member 12	17	 -33738081	0.3	0.33	0.23	1.33	0.54	0.45	1.36	1.19	0.87
SLFN13	gene29209	146857	schlafen family member 13	17	 -33762115	0.07	0.3	0.21	0.54	0.15	0.15	0.19	0.2	0.52
LOC100420061	gene29210	100420061	adenylosuccinate synthase pseudogene	17	NA	0	0	0.07	0.06	0	0	0.05	0.07	0
E2F3P1	gene29212	1872	E2F transcription factor 3 pseudogene 1	17	NA	0.01	0	0	0	0	0	0	0	0
SLFN14	gene29216	342618	schlafen family member 14	17	 -33875144	0	0.02	0	0	0	0.02	0	0	0
RPL39P32	gene29217	100131387	ribosomal protein L39 pseudogene 32	17	NA	0.22	0.5	0	0.24	0.8	0.26	0.18	0	0
PEX12	gene29219	5193	peroxisomal biogenesis factor 12	17	 -33901814	1.73	2	1.33	0.56	1.67	1.37	1.94	1.82	0.65
LOC100289584	gene2922	NA	NA	NA	NA	0	0.1	0	0.1	0	0.11	0.01	0.11	0.07
AP2B1	gene29220	163	adaptor-related protein complex 2, beta 1 subunit	17	  33914282	29.85	37.39	33.35	23.44	39.69	33.97	56.03	49.21	22.86
LOC100420062	gene29221	100420062	transmembrane protein 160 pseudogene	17	NA	0	0	0	0	0	0	0.1	0.15	0
RASL10B	gene29223	91608	RAS-like, family 10, member B	17	  34058679	5.46	5.13	5.11	4.02	14.8	13.37	9.59	9.59	3.38
GAS2L2	gene29224	246176	growth arrest-specific 2 like 2	17	 -34071530	0.12	0.02	0.02	0	0.05	0	0.1	0.1	0.02
C17orf50	gene29225	146853	chromosome 17 open reading frame 50	17	  34087916	0.06	0.07	0	0.07	0	0	0.05	0	0
MMP28	gene29226	79148	matrix metallopeptidase 28	17	 -34105509;  -34092876	0	0.26	0.15	0.07	4.94	6.48	0	0	0.02
TAF15	gene29227	8148	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa	17	  34136459	40.45	40.77	34.84	37.49	26.04	29.73	98.51	83.18	36.05
CCL5	gene29229	6352	chemokine (C-C motif) ligand 5	17	 -34198496	0.67	1.74	0.91	0.74	0.72	1.19	4.49	3.92	0.65
